hazle	hazles,hazel
drakkar	drakar,draki,δράκων,draco,dreki,drake
tautog	tautauog,taut
waterproofed	waterproof,more,most
newydd	nevez,núa
birdwing	wing,bird
airconditioned	more,air-conditioned,most
verdura	verde,-ura
sleepaway	sleep,away
danseur	danseuse,danseurs,dancer,danse,danser
deis	dais,deises
antinarcotics	narcotics,anti-
geduld	dulden,githuld,gedult
eighty-first	eenentachtigste,nyolcvanegyedik,ottantunesima,eenentachtigst,ოთხმოცდამეერთე,optzeci și una,81st,eighty-one,81,ottantunesimo,optzeci și unulea,seksen birinci,ordinal,kahdeksaskymmenesensimmäinen,quatre-vingt-et-unième,number
naag	naago,woman
cheif	chief,cheifs
unscented	scented,un-
pressurising	pressure,pressurise,pressurize
chapada	tableland,chapadas
gourde	currency,gourdes,centime
bispo	episcopus,bispo,ἐπίσκοπος
consumidor	consumidores,consumidors,consuming,consumidora
warcry	war cry,warcries
debajo	de,bajo
flowerpecker	flower,pecker
levice	pravice,levičák,hand,left
antiharassment	harassment,anti-
analista	anàlisi,-ista
pappardelle	sauce,pappardella,pappardelle,sugo,pappare
micrantha	μικρός,ἄνθος
spermatophore	spermato-,-phore
irremediable	irremediabilis,in-,remediable
clew	cliwen,cliewen,clewe,cleowen,clæg
advantageously	probitačno,пробитачно,advantage,proficuamente,vantajosamente,hyödyllisesti,преимущественно,more,most,edullisesti,avantatjosament,vantaggiosamente,ventajosamente,выгодно,avantageusement,profittevolmente,disadvantageously,zweckmäßigerweise,ხელსაყრელად,advantageous,సప్రయోజనముగా
macro-economic	more,macroeconomic,most
resistible	resist,-ible
monatomic	atomic,mon-
oft-repeated	more,most,frequently,often,oft,repeated
knower	know,-er
aie	aikoa,-e
geoduck	gweduck,goeduck
restyle	re-,style
réti	-i,rét
ennoblement	ennoble,-ment
apiculture	culture,apis
unternehmen	unter-,nehmen
crimefighter	crime-fighter,crime fighter
flocculation	floccule,-ation
strophic	-ic,strophe
biphenyl	phenyl,bi-
cycloid	cyclo-,-oid
slaughterer	slaughter,-er
high-heeled	högklackad,talon haut,korkeakorkoinen,өндөр өсгийтэй,heel,high heels
isoperimetric	iso-,perimetric
silicic	silicique,silex,silicis
sallet	vysars,bever,vizard,chelato,sallets,salade,caelata,celada,helmet,celate
hiko	romaji,ひこ
centralizer	-er,centralize
hellbound	hell,bound
debilitate	debilitare,debilitatus,de-,habilis,debilis
unmeasurable	measurable,un-
invista	investir,él,yo,usted,ella
tothe	tuthe,toþe,tooþ,tuth,toth,tooth,toþ,toð,toeth
zealousness	zealous,-ness
løgting	lǫgþing,lóg,ting
commensurately	commensurate,-ly
andon	romaji,あんどん
tigo	tigoj,tigojn,stalk,haulm,stem,tigon
lahi	different,another,other
wordnet	word,net
whiles	wine-whine merger,wiles
outthink	out,think
augen	ellas,auger,ellos,ustedes
huf	hoof,hufes
mononuclear	mono-,nuclear
horikawa	romaji,ほりかわ
bodas	boda,anniversary
digressive	-ive,digress
unpretty	more,most,unlovely,un-,pretty
beastmaster	master,beast
portier	portarius,porta
cordgrass	grass,cord
dispassion	passion,dis-
paolino	paolini,paoline,paolina,paolinismo
uraga	ឧរគ,उरग,𑀉𑀭𑀕,อุรค,ᩏᩁᨣ,උරග,ဥရဂ,উরগ
maitra	maitras,maitro
serratus	anatomy,serratus posterior,serrated,serrati,serratus anticus,vertebral,serratus anterior,serratus magnus,muscle,costal
nali	naljasid,naljadeta,naljata,naljule,naljas,naljades,naljus,naljadeni,naljadele,naljust,naljuks,naljadeks,naljale,naljadelt,naljade,naljadesse,naljaga,nalju,naljul,naljadega,naljalt,naljast,naljal,naljad,nalja,naljadel,naljult,naljadest,nali,naljadena,naljasse,naljani,naljana,naljaks,joke,naljusse
antiglobalization	globalization,anti-
balustraded	balustrade,-ed
grec	gãrcu,grecu
povo	povi,-o
lucilia	lucilie,mosca verde,greenbottle
yadu	yadus,syllable,line,stanza,rhyme,poetry
bulus	flood,river
setsuna	romaji,せつな
starlit	star,lit
starshine	star,shine
scrollwork	scroll,work
seun	zeun,sone,suene,suno,zoon
dreariness	drerinesse,dreary,-ness,drerynesse,dreorignys
homeplace	home place,home-place
trailside	trail,-side
itron	altruan,elltrewyn,eltroguen
